"filename", "language", "Markdown", "Java Properties", "XML", "Java", "Graphviz (DOT)", "HTML", "JSON", "comment", "blank", "total"
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bank-variants\Variant00008\bs\Converter.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bank-variants\Variant00009\bs\IExporter.java", "Java", 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bank-variants\bin\bs\Consortium.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bank-variants\bin\bs\Converter.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\Finder.class", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 0, 25
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\Main.class", "Java", 0, 0, 0, 109, 0, 0, 0, 0, 0, 109
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\adaptation\JDTtoRUASTAdapter.class", "Java", 0, 0, 0, 164, 0, 0, 0, 0, 0, 164
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\adaptation\RUASTNode.class", "Java", 0, 0, 0, 13, 0, 0, 0, 3, 0, 16
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\adaptation\RUASTNodeType.class", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\adaptation\RUASTTree.class", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 0, 30
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\adaptation\interfaces\IAdapter.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\adaptation\interfaces\IRUAST.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\adaptation\interfaces\IRUASTNode.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\exporter\IExporter.class", "Java", 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\exporter\implem\DotExporter.class", "Java", 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\exporter\implem\DoteExportWithColor.class", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\exporter\implem\codeGeneration\JAVACodeExporter.class", "Java", 0, 0, 0, 114, 0, 0, 0, 0, 2, 116
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\exporter\implem\codeGeneration\OriginalCodeBuilderFromRUAST.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\exporter\implem\codeGeneration\blocCodeGenerator\FeatureCodeExporter.class", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\fusion\Merger.class", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 0, 37
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\fusion\interfaces\IMerger.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\identificationblocs\BlocsIdentifier.class", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\identificationblocs\DependanciesManager.class", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\identificationblocs\IDependanciesManager.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\util\Utile.class", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 26
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\visitor\Greater.class", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\bin\main\visitor\MethodVisitor.class", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\generatedcode\help.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\BindingKey.class", "Java", 0, 0, 0, 50, 0, 0, 0, 0, 0, 50
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\BufferChangedEvent.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ClasspathContainerInitializer$1.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ClasspathContainerInitializer.class", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ClasspathVariableInitializer.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\CompletionContext.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\CompletionFlags.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\CompletionProposal.class", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 23
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\CompletionRequestor.class", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\CompletionRequestorAdapter.class", "Java", 0, 0, 0, 34, 0, 0, 0, 0, 0, 34
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\CorrectionEngine$1.class", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 33
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\CorrectionEngine.class", "Java", 0, 0, 0, 64, 0, 0, 0, 0, 0, 64
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ElementChangedEvent.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\Flags.class", "Java", 0, 0, 0, 52, 0, 0, 0, 0, 0, 52
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IAccessRule.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IAnnotatable.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IAnnotation.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IBuffer$ITextEditCapability.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IBuffer.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IBufferChangedListener.class", "Java", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IBufferFactory.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IClassFile.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IClasspathAttribute.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IClasspathContainer.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IClasspathEntry.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ICodeAssist.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ICodeCompletionRequestor.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ICodeFormatter.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ICompilationUnit.class", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ICompletionRequestor.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ICorrectionRequestor.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IElementChangedListener.class", "Java", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IField.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IImportContainer.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IImportDeclaration.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IInitializer.class", "Java", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJarEntryResource.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJavaElement.class", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJavaElementDelta.class", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJavaModel.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJavaModelMarker.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJavaModelStatus.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJavaModelStatusConstants.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IJavaProject.class", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ILocalVariable.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IMember.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IMemberValuePair.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IMethod.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IOpenable.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IPackageDeclaration.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IPackageFragment.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IPackageFragmentRoot.class", "Java", 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IParent.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IProblemRequestor.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IRegion.class", "Java", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ISourceManipulation.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ISourceRange.class", "Java", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ISourceReference.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IType.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ITypeHierarchy.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ITypeHierarchyChangedListener.class", "Java", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ITypeParameter.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ITypeRoot.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\IWorkingCopy.class", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\JavaConventions.class", "Java", 0, 0, 0, 132, 0, 0, 0, 0, 0, 132
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\JavaCore$1.class", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\JavaCore$2.class", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\JavaCore.class", "Java", 0, 0, 0, 837, 0, 0, 0, 0, 6, 843
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\JavaModelException.class", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 33
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\NamingConventions$NamingRequestor.class", "Java", 0, 0, 0, 17, 0, 0, 0, 10, 0, 27
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\NamingConventions.class", "Java", 0, 0, 0, 100, 0, 0, 0, 0, 0, 100
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\Signature.class", "Java", 0, 0, 0, 315, 0, 0, 0, 0, 0, 315
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ToolFactory$1$DeprecatedDisassembler.class", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\ToolFactory.class", "Java", 0, 0, 0, 87, 0, 0, 0, 0, 0, 87
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\WorkingCopyOwner.class", "Java", 0, 0, 0, 38, 0, 0, 0, 0, 0, 38
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\compiler\BuildContext.class", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\cours\sorbonne\master\m1\s6\pstl\pstl-aboubacar-shuhan\org\eclipse\jdt\core\compiler\CategorizedProblem.class", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14
